LDMC,StemD,SDMC,LA,SLA,YLS,LT,TLP,C13,Species,sp,abundance
0.553033998,0.668577198,0.586851476,14.5934954,180.0213139,54.12222222,0.105722222,-2.565849443,-36.241462,C5,C005,68
0.320583367,0.442048355,0.447303988,54.39351061,241.3526375,46.11111111,0.150333333,-1.953720657,-39.488462,C6,C006,271
0.285765318,0.524541057,0.468158414,71.59527715,188.4447794,48.64444444,0.126833333,-2.460724232,NA,C8,C008,32
0.27412361,0.190304269,0.179492775,20.90374162,218.1445922,47.57777778,0.140833333,-1.640076127,NA,C9,C009,4
0.15268583,0.404675389,0.366096982,68.53266949,413.481531,32.68888889,0.115444444,-2.202842227,-35.377462,C12,C012,69
0.229839911,0.282662802,0.267944597,204.8456429,191.4108509,41.80555556,0.194833333,-2.04924611,NA,C15,C015,42
0.296884219,0.481709402,0.445635564,26.63392173,177.859187,59.85,0.408333333,-2.480238493,-34.811462,C16,C016,304
0.251338901,0.316006594,0.312104693,56.53288566,236.1891056,47.6,0.173111111,-2.288872839,-36.455462,C18,C018,405
0.213742443,0.284299242,0.261702247,45.14249018,315.4924894,36.33333333,0.145333333,-2.096458032,-35.822462,C22,C022,97
0.21368297,0.359503215,0.362530992,179.0060569,148.8972185,48.46666667,0.214833333,-2.325173561,NA,C23,C023,19
0.382478689,0.761875806,0.59381492,20.57955537,189.4974516,57.04444444,0.116666667,-2.17871169,NA,C26,C026,20
0.470205115,0.848529412,0.618435155,59.53390884,180.4870285,44,0.142,-4.019556952,-36.073462,C27,C027,206
0.421475214,0.791711715,0.667078314,8.157625905,116.6023658,62.88333333,0.181277778,-2.607186103,-34.141462,C29,C029,139
0.231563647,0.464048308,0.407685189,84.45732201,197.7292834,53.11111111,0.155111111,-1.829133643,-37.278462,C30,C030,809
0.291600867,0.471416882,0.425004728,83.76970037,149.2160328,56.55555556,0.203388889,-2.057849172,NA,C32,C032,7
0.323899903,0.506989418,0.441026113,40.81170654,251.816081,33.42222222,0.076666667,-2.119329584,-34.623462,C33,C033,159
0.440741524,0.717694126,0.606876248,21.48072179,219.7581511,44.45555556,0.109222222,-3.316099327,-35.309462,C37,C037,1394
0.508582599,0.827002949,0.616817688,28.74454604,138.3685155,43.53333333,0.140444444,-3.204993939,-34.357462,C39,C039,10526
